huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
7260,10,800,RV,4085048.74777811,3677875.5314695165,8016183.22,10432474.47,10483146.459999999
7260,10,800,SH,-4626728.27,0.0,0.0,-3957113.17,-4626728.27
7260,10,1701,RV,670185.1772343277,888636.2208744644,614257.0,1194437.0,557291.0
7260,10,1900,RV,134332.04150748154,134332.04150748157,135214.35,125592.43,168940.09
7260,20,102,RV,45638.20071029019,45638.20071029019,145875.0,353000.0,150000.0
7260,20,109,RV,5700388.993646134,5700388.993646134,3455263.4,8655055.4,9077346.06
7260,20,109,ZJ,7196000.000000001,0.0,0.0,0.0,7196000.0
7260,20,200,RV,14922710.69808795,14641251.17477252,20634957.48,17900270.830000002,12699003.36
7260,20,200,ZJ,399999.99999999994,0.0,0.0,400000.0,0.0
7260,20,300,RV,30173.25,0.0,317692.63,36842.5,23504.0
7260,20,300,ZJ,7314.765000000002,0.0,0.0,8477.53,6152.0
7260,20,500,RV,250054.50599445147,250054.50599445147,7797300.0,1121650.0,646445.0
7260,20,500,ZC,0.0,0.0,2400.0,0.0,0.0
7260,20,500,ZJ,0.0,0.0,9889374.0,0.0,0.0
7260,20,600,DR,33750.0,0.0,0.0,0.0,67500.0
7260,20,600,RV,4979214.686454446,2844513.7606097707,17881993.0,12246369.379999999,27310485.44
7260,20,600,ZJ,619000.0,0.0,0.0,619000.0,0.0
7260,20,601,RV,101018889.0748365,101018889.0748365,73972067.34,0.0,97717153.0
7260,20,700,RV,730599.4,0.0,1188600.0,360060.0,1101138.8
7260,20,700,ZC,0.0,0.0,10299.76,0.0,0.0
7260,20,800,RV,457671.50000000006,0.0,257550.0,360233.0,555110.0
7260,20,1200,KG,484119.99999999994,0.0,0.0,484120.0,0.0
7260,20,1200,KR,0.0,0.0,0.0,-484120.0,0.0
7260,20,1200,RV,644311.4073376786,644311.4073376785,1366782.0,2900820.0,5600000.0
7260,20,1200,ZC,30413207.041563705,30413207.041563705,19206903.0,27774316.0,21795214.0
7260,20,1200,ZJ,23711520.517437402,23711520.517437402,34727664.4,39671113.83,42363200.7
7260,20,1400,RV,488531.00000000006,0.0,0.0,0.0,488531.0
7260,20,1401,RV,715254.9462778528,972255.358387228,3213222.5700000003,4249041.859999999,5353123.640000001
7260,20,1900,RV,5074448.755305836,1302809.2050128672,2055284.7,6672791.03,5014315.0
7260,20,1900,ZJ,622472.1996271125,622472.1996271125,60000.0,3832139.0,854060.0
